X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
-400, -2200, 1500, 0, image_-000400_-002200_+001500.png, 21, 3, 0
-300, -2200, 1500, 0, image_-000300_-002200_+001500.png, 22, 3, 0
-200, -2200, 1500, 0, image_-000200_-002200_+001500.png, 23, 3, 0
-100, -2200, 1500, 0, image_-000100_-002200_+001500.png, 24, 3, 0
0, -2200, 1500, 0, image_+000000_-002200_+001500.png, 25, 3, 0
100, -2200, 1500, 0, image_+000100_-002200_+001500.png, 26, 3, 0
200, -2200, 1500, 0, image_+000200_-002200_+001500.png, 27, 3, 0
300, -2200, 1500, 0, image_+000300_-002200_+001500.png, 28, 3, 0
400, -2200, 1500, 0, image_+000400_-002200_+001500.png, 29, 3, 0
500, -2200, 1500, 0, image_+000500_-002200_+001500.png, 30, 3, 0
600, -2200, 1500, 0, image_+000600_-002200_+001500.png, 31, 3, 0
700, -2200, 1500, 0, image_+000700_-002200_+001500.png, 32, 3, 0
800, -2200, 1500, 0, image_+000800_-002200_+001500.png, 33, 3, 0
900, -2200, 1500, 0, image_+000900_-002200_+001500.png, 34, 3, 0
1000, -2200, 1500, 0, image_+001000_-002200_+001500.png, 35, 3, 0
1100, -2200, 1500, 0, image_+001100_-002200_+001500.png, 36, 3, 0
1200, -2200, 1500, 0, image_+001200_-002200_+001500.png, 37, 3, 0
1300, -2200, 1500, 0, image_+001300_-002200_+001500.png, 38, 3, 0
1400, -2200, 1500, 0, image_+001400_-002200_+001500.png, 39, 3, 0
1500, -2200, 1500, 0, image_+001500_-002200_+001500.png, 40, 3, 0
1600, -2200, 1500, 0, image_+001600_-002200_+001500.png, 41, 3, 0
1700, -2200, 1500, 0, image_+001700_-002200_+001500.png, 42, 3, 0
1800, -2200, 1500, 0, image_+001800_-002200_+001500.png, 43, 3, 0
1900, -2200, 1500, 0, image_+001900_-002200_+001500.png, 44, 3, 0
2000, -2200, 1500, 0, image_+002000_-002200_+001500.png, 45, 3, 0
2100, -2200, 1500, 0, image_+002100_-002200_+001500.png, 46, 3, 0
2200, -2200, 1500, 0, image_+002200_-002200_+001500.png, 47, 3, 0
2300, -2200, 1500, 0, image_+002300_-002200_+001500.png, 48, 3, 0
2400, -2200, 1500, 0, image_+002400_-002200_+001500.png, 49, 3, 0
2500, -2200, 1500, 0, image_+002500_-002200_+001500.png, 50, 3, 0
-2500, -2100, 1500, 0, image_-002500_-002100_+001500.png, 0, 4, 0
-2400, -2100, 1500, 0, image_-002400_-002100_+001500.png, 1, 4, 0
-2300, -2100, 1500, 0, image_-002300_-002100_+001500.png, 2, 4, 0
-2200, -2100, 1500, 0, image_-002200_-002100_+001500.png, 3, 4, 0
-2100, -2100, 1500, 0, image_-002100_-002100_+001500.png, 4, 4, 0
-2000, -2100, 1500, 0, image_-002000_-002100_+001500.png, 5, 4, 0
-1900, -2100, 1500, 0, image_-001900_-002100_+001500.png, 6, 4, 0
-1800, -2100, 1500, 0, image_-001800_-002100_+001500.png, 7, 4, 0
-1700, -2100, 1500, 0, image_-001700_-002100_+001500.png, 8, 4, 0
-1600, -2100, 1500, 0, image_-001600_-002100_+001500.png, 9, 4, 0
-1500, -2100, 1500, 0, image_-001500_-002100_+001500.png, 10, 4, 0
-1400, -2100, 1500, 0, image_-001400_-002100_+001500.png, 11, 4, 0
-1300, -2100, 1500, 0, image_-001300_-002100_+001500.png, 12, 4, 0
-1200, -2100, 1500, 0, image_-001200_-002100_+001500.png, 13, 4, 0
